ac_no,Candidate,Party,% of Votes,Total Votes,,
35,Ali Yusuf Ali,Indian National Congress,9.08%,"18,213",,
35,Abdul Mustafa Husain,Bahujan Samaj Party,5.17%,"10,366",,
35,NOTA,None of the Above,0.49%,"98,1",,
35,Faheem Ahmed,Independent,0.45%,"89,3",,
35,Jitender Kumar,Sabka Dal United,0.34%,"67,9",,
35,Rajpal,Independent,0.29%,"58,6",,
35,Zulfiqar Ali Turk,Aam Aadmi Party,0.21%,"42,3",,
35,Kripal Singh,Independent,0.17%,"33,1",,
35,Akhilesh Kumar,Independent,0.14%,"27,1",,
35,Zubair,Jagrook Janta Party,0.1%,"19,6",,
36,Baldev Singh Aulakh,Bharatiya Janata Party,43.17%,"10,1998",,
36,Amarjeet Singh,Samajwadi Party,43.04%,"10,1691",,
36,Ramautar Kashyap,Bahujan Samaj Party,7.99%,"18,870",,
36,Sanjay Kapoor,Indian National Congress,4.15%,"98,14",,
36,NOTA,None of the Above,0.51%,"11,97",,
36,Harjeet Singh,Independent,0.3%,"70,2",,
36,Krishan Kant Parmeshwari,Independent,0.26%,"62,4",,
36,Jagdish Saran Patel,Janata Dal (United),0.22%,"52,2",,
36,Nirmal Singh,Aam Aadmi Party,0.17%,"39,1",,
36,Boopram,Bharatiya Subhash Sena,0.1%,"22,9",,
36,Om Radheshyam Lodhi,Independent,0.09%,"22,1",,
37,Mohammad Azam Khan,Samajwadi Party,59.71%,"13,1225",,
37,Akash Saxena (Honey),Bharatiya Janata Party,34.62%,"76,084",,
37,Sadaqat Hussain,Bahujan Samaj Party,2.25%,"49,40",,
37,Nawab Kazim Ali Khan,Indian National Congress,1.82%,"40,00",,
37,Faisal Khan,Aam Aadmi Party,0.83%,"18,17",,
37,NOTA,None of the Above,0.53%,"11,68",,
37,Habib Ul Zafar Khan,Independent,0.15%,"32,6",,
37,Javed Khan,Independent,0.09%,"19,7",,
38,Rajbala Singh,Bharatiya Janata Party,43.11%,"97,948",,
38,Vijay Singh,Samajwadi Party,40.5%,"92,036",,
38,Surendra Singh Sagar,Bahujan Samaj Party,13.86%,"31,492",,
38,Kumar Eklavya,Indian National Congress,1.25%,"28,36",,
38,NOTA,None of the Above,0.65%,"14,79",,
38,Babita Rani,Lok Shakti,0.35%,"80,3",,
38,Ankur Sagar,Independent,0.28%,"63,6",,
39,RAJEEV KUMAR,Bharatiya Janata Party,42.29%,"10,3054",,
39,VIVEK SINGH,Samajwadi Party,37.6%,"91,629",,
39,HARPAL SINGH,Bahujan Samaj Party,18.04%,"43,974",,
39,SAMAR PAL SINGH,Indian National Congress,0.57%,"13,85",,
39,NOTA,None of the Above,0.48%,"11,76",,
39,GITA RANI,All India Majlis-E-Ittehadul Muslimeen,0.39%,"94,1",,
39,SUSHEEL KUMAR MAURYA,Independent,0.21%,"51,3",,
39,JASWANT SINGH,Independent,0.15%,"36,2",,
39,PRAMOD KUMAR,Independent,0.11%,"26,8",,
39,MAHESH,Bahujan Mukti Party,0.08%,"20,5",,
39,RAJENDRI URF UMA DEVI,Independent,0.08%,"19,0",,
40,SAMARPAL SINGH,Samajwadi Party,44.31%,"10,8497",,
40,DEVENDER NAGPAL,Bharatiya Janata Party,41.64%,"10,1957",,
40,SHADAB KHAN,Bahujan Samaj Party,11.72%,"28,688",,
40,REKHA RANI,Indian National Congress,0.66%,"16,13",,
40,MOHD ADIL,All India Majlis-E-Ittehadul Muslimeen,0.42%,"10,36",,
40,NOTA,None of the Above,0.38%,"93,8",,
40,AJIT KUMAR,Rashtrawadi Janlok Party (Satya),0.28%,"68,8",,
40,DUSHYANT KHARE,Independent,0.22%,"53,0",,
40,PRATEEK CHAUDHARY,Independent,0.12%,"29,8",,
40,KALLU,Independent,0.11%,"26,3",,
40,HEMENDER SINGH CHAUHAN,Aam Aadmi Party,0.08%,"20,1",,
40,AKRAM KHAN,Independent,0.05%,"12,8",,
41,MEHBOOB ALI,Samajwadi Party,57.43%,"12,8735",,
41,RAM SINGH,Bharatiya Janata Party,25.74%,"57,699",,
41,MOHAMMED NAVED AYAZ,Bahujan Samaj Party,15.43%,"34,585",,
41,NOTA,None of the Above,0.43%,"97,1",,
41,SALEEM KHAN,Indian National Congress,0.38%,"84,6",,
41,ISLAM,Aam Aadmi Party,0.18%,"41,3",,
41,AKBAR ALI,Independent,0.11%,"23,7",,
41,SHAKINA,Independent,0.11%,"23,6",,
41,SHIVKUMAR,Aazad Samaj Party (Kanshi Ram),0.1%,"22,6",,
41,MOH. AHSAN,Pachchasi Parivartan Samaj Party,0.09%,"20,2",,
42,MAHENDRA,Bharatiya Janata Party,44.67%,"12,0135",,
42,MUKHYA GURJAR,Samajwadi Party,36.35%,"97,753",,
42,PHIRERAM,Bahujan Samaj Party,13.44%,"36,150",,
42,AHTESHAM RZA HASHMI,All India Majlis-E-Ittehadul Muslimeen,1.85%,"49,72",,
42,SURAJ,Independent,0.71%,"19,07",,
42,AASIM SABRI,Indian National Congress,0.64%,"17,34",,
42,ANGOORI,Independent,0.61%,"16,51",,
42,NOTA,None of the Above,0.48%,"12,79",,
42,ABRAR AHMAD,Aazad Samaj Party (Kanshi Ram),0.4%,"10,76",,
42,VIKAR AHMAD,Vikas India Party,0.26%,"70,7",,
42,ABDUL KHALIQ,Naki Bharatiya Ekta Party,0.22%,"59,6",,
42,AMAR SINGH,Aam Aadmi Party,0.19%,"50,1",,
42,KAMAL SINGH,Rashtriya Parivartan Dal,0.1%,"26,0",,
42,OMKAR,Lok Dal,0.08%,"20,3",,
43,GHULAM MOHAMMAD,Rashtriya Lok Dal,43.54%,"10,1749",,
43,MANINDER PAL,Bharatiya Janata Party,39.61%,"92,567",,
43,MUKRRAM ALI URF NANHE KHATUN,Bahujan Samaj Party,12.82%,"29,958",,
43,RAFAT,All India Majlis-E-Ittehadul Muslimeen,1.29%,"30,19",,
43,AMIT JANI,All India Forward Bloc,0.7%,"16,30",,
43,JAGDISH PRASAD,Indian National Congress,0.67%,"15,77",,
43,NOTA,None of the Above,0.4%,"92,9",,
43,NASIM,Independent,0.3%,"69,8",,
43,BHUPENDRA SINGH,Aazad Samaj Party (Kanshi Ram),0.27%,"63,3",,
43,KULDEEP,Aam Aadmi Party,0.12%,"28,9",,
43,SUBHASH,Independent,0.12%,"28,8",,
43,TEHZEEB,India Janshakti Party,0.08%,"18,1",,
43,JAGBIR SINGH,Bhartiya Janta Dal,0.06%,"14,9",,
44,Atul Pradhan,Samajwadi Party,48.75%,"11,8573",,
44,Sangeet Singh Som,Bharatiya Janata Party,41.27%,"10,0373",,
44,Sanjeev Dhama,Bahujan Samaj Party,7.46%,"18,140",,
44,Syed Rehanuddin,Indian National Congress,0.88%,"21,44",,
44,Zeeshan Alam,All India Majlis-E-Ittehadul Muslimeen,0.6%,"14,59",,
44,NOTA,None of the Above,0.36%,"88,3",,
44,Devendra,Independent,0.23%,"55,1",,
44,Ramesh Chand,Pichhra Samaj Party,0.1%,"25,5",,
44,Sanjay,Aam Aadmi Party,0.1%,"23,2",,
44,Vinod Soam,Independent,0.09%,"23,0",,
44,Daya Chand,Independent,0.08%,"20,3",,
44,Devendra,Jan Adhikar Party,0.07%,"16,3",,
45,Dinesh,Bharatiya Janata Party,46.72%,"10,7587",,
45,Yogesh Verma,Samajwadi Party,43.55%,"10,0275",,
45,Sanjeev Kumar,Bahujan Samaj Party,6.18%,"14,240",,
45,Vinod Kumar,All India Majlis-E-Ittehadul Muslimeen,1.86%,"42,90",,
45,Archana Gautam,Indian National Congress,0.66%,"15,19",,
45,Himanshu Siddharth,Aazad Samaj Party (Kanshi Ram),0.4%,"92,3",,
45,NOTA,None of the Above,0.29%,"67,1",,
45,Mamta,Bhartiya Veer Dal,0.17%,"39,2",,
45,Anmol,Aam Aadmi Party,0.16%,"37,9",,
46,SHAHID MANZOOR,Samajwadi Party,42.19%,"10,7104",,
46,SATYAVIR TYAGI,Bharatiya Janata Party,41.33%,"10,4924",,
46,KUSHAL PAL MAVI,Bahujan Samaj Party,12.29%,"31,213",,
46,TASLEEM AHMAD,All India Majlis-E-Ittehadul Muslimeen,1.9%,"48,33",,
46,BABITA GURJAR,Indian National Congress,0.63%,"15,89",,
46,NOTA,None of the Above,0.36%,"91,2",,
46,MOHD. ANAS,Aazad Samaj Party (Kanshi Ram),0.34%,"87,0",,
46,DAUD,Bharatiya Jan Jagriti Party,0.24%,"60,1",,
46,ZAID,Naki Bharatiya Ekta Party,0.2%,"50,0",,
46,CHANDRA VISHAL TYAGI,Independent,0.16%,"39,7",,
46,RAHUL KUMAR,Aam Aadmi Party,0.12%,"29,2",,
46,PAWAN SHARMA,Independent,0.12%,"29,2",,
46,SANJEEV KUMAR,Lok Jan Shakti Party,0.07%,"18,7",,
46,RAJESH GIRI,Bhartiya Janta Dal,0.06%,"15,5",,
47,AMIT AGARWAL,Bharatiya Janata Party,66.27%,"16,2032",,
47,MANISHA AHLAWAT,Rashtriya Lok Dal,17.98%,"43,960",,
47,AMIT SHARMA,Bahujan Samaj Party,11.66%,"28,519",,
47,AVNISH KAJLA,Indian National Congress,2.08%,"50,96",,
47,MADAN SINGH MAAN,Aam Aadmi Party,0.51%,"12,57",,
47,NOTA,None of the Above,0.44%,"10,75",,
47,RAJIV KUMAR,Independent,0.31%,"75,3",,
47,UPENDRA KUMAR,Apni Janta Party,0.18%,"43,8",,
47,OM PRAKASH KANIK,Peoples Party of India (Democratic),0.1%,"25,6",,
47,PAWAN KUMAR DHIMAN,Nyay Party,0.1%,"25,6",,
47,DEEPAK SAINI,Independent,0.1%,"24,3",,
47,DR.SUDHIR AGRAWAL,Samagra Vikas Party,0.1%,"23,3",,
47,RAKESH PARJAPATI,Rashtriya Samaj Paksha,0.09%,"21,8",,
47,DEEPAK SIROHI,Shiv Sena,0.06%,"15,7",,
48,RAFIQ ANSARI,Samajwadi Party,52.77%,"10,6395",,
48,KAMAL DUTT SHARMA,Bharatiya Janata Party,39.84%,"80,330",,
48,RANJAN SHARMA,Indian National Congress,2.64%,"53,33",,
48,DILSHAD,Bahujan Samaj Party,2.45%,"49,39",,
48,IMRAN AHMAD,All India Majlis-E-Ittehadul Muslimeen,1.51%,"30,38",,
48,NOTA,None of the Above,0.31%,"62,0",,
48,KAPIL KUMAR SHARMA,Aam Aadmi Party,0.16%,"32,3",,
48,ASHOK,Independent,0.09%,"18,3",,
48,ALI SHER,Aazad Samaj Party (Kanshi Ram),0.07%,"13,2",,
48,ANKIT SHARMA,Independent,0.06%,"13,0",,
48,SUSHIL VERMA,Lok Janshakti Party(Ram Vilas),0.04%,"88,",,
48,AFZAL,Sabse Achchhi Party,0.04%,"78,",,
48,KANAK JAIN,Mihir Sena,0.02%,"49,",,
49,Dr. Somendra Singh Tomar,Bharatiya Janata Party,43.46%,"12,9667",,
49,Mohd Adil,Samajwadi Party,40.79%,"12,1725",,
49,Dilshad Ali,Bahujan Samaj Party,13.36%,"39,857",,
49,Nafees,Indian National Congress,0.79%,"23,46",,
49,NOTA,None of the Above,0.38%,"11,39",,
49,Omdutt,Aam Aadmi Party,0.27%,"79,7",,
49,Shakeel Ahmad,Naki Bharatiya Ekta Party,0.23%,"68,3",,
49,Mukesh,Independent,0.17%,"49,3",,
49,Afzal,Sabse Achchhi Party,0.16%,"47,6",,
49,Rajuddin Gadrey,Bahujan Mukti Party,0.16%,"46,6",,
49,Harish Chand,Independent,0.14%,"41,1",,
49,Sandeep Chaudhary,Independent,0.11%,"33,3",,
50,Ajay Kumar,Rashtriya Lok Dal,53.3%,"11,1880",,
50,Sahender Singh Ramala,Bharatiya Janata Party,39.24%,"82,372",,
50,Sahik,Bahujan Samaj Party,4.66%,"97,74",,
50,Anees,All India Majlis-E-Ittehadul Muslimeen,0.64%,"13,53",,
50,Mohd. Yunus,Indian National Congress,0.59%,"12,39",,
50,NOTA,None of the Above,0.42%,"88,6",,
50,Satveer Kashyap,Vikassheel Insaan Party,0.36%,"75,9",,
50,Dr. Rajendra Khokhar,Aam Aadmi Party,0.24%,"50,8",,
50,Ajay Kumar,Independent,0.18%,"36,8",,
50,Naresh,Bhartiya Tarak Samaj Party,0.13%,"27,1",,
50,Chandrapal,Indian Nationalist Alliance Party (India),0.12%,"25,9",,
50,Kaptan,Akhil Bhartiya Lok Dal,0.11%,"23,5",,
51,KRISHAN PAL MALIK,Bharatiya Janata Party,46.34%,"90,931",,
51,JAIVEER,Rashtriya Lok Dal,46.18%,"90,616",,
51,ANKIT SHAMAR,Bahujan Samaj Party,5.73%,"11,244",,
51,RAHUL KUMAR,Indian National Congress,0.94%,"18,49",,
51,SUDHIR,Aam Aadmi Party,0.36%,"70,9",,
51,NOTA,None of the Above,0.3%,"57,9",,
51,RENU BALA,Independent,0.15%,"29,8",,
52,Yogesh Dhama,Bharatiya Janata Party,47.37%,"10,1420",,
52,Mohd Ahmed Hameed,Rashtriya Lok Dal,44.22%,"94,687",,
52,Arun Kasana,Bahujan Samaj Party,6.01%,"12,863",,
52,Anil,Indian National Congress,0.57%,"12,29",,
52,Naveen Kumar,Aam Aadmi Party,0.47%,"10,04",,
52,Renu,Independent,0.41%,"86,9",,
52,NOTA,None of the Above,0.27%,"57,4",,
52,Vinay Kasana,Independent,0.24%,"51,5",,
52,Maharaj Singh,Independent,0.17%,"35,4",,
52,Vinod Kumar,Indian Nationalist Alliance Party (India),0.1%,"21,9",,
52,Rasid,Peace Party,0.09%,"19,7",,
52,Parmod Kumar Goswami,Secular Inqlab Party,0.08%,"18,1",,
53,NANDKISHOR,Bharatiya Janata Party,40.44%,"12,7410",,
53,MADAN BHAIYA,Rashtriya Lok Dal,37.68%,"11,8734",,
53,RANJITA DHAMA,Independent,8.66%,"27,289",,
53,AKIL,Bahujan Samaj Party,8.16%,"25,717",,
53,SACHIN KUMAR SHARMA,Aam Aadmi Party,2.01%,"63,24",,
53,MEHTAB,All India Majlis-E-Ittehadul Muslimeen,1.02%,"32,14",,
53,MOHD YAMIN MALIK,Indian National Congress,0.65%,"20,49",,
53,AMIT KUMAR,Hindusthan Nirman Dal,0.62%,"19,46",,
53,NOTA,None of the Above,0.5%,"15,65",,
53,DILSHAD,Rashtriya Samaj Paksha,0.19%,"60,7",,
53,JAI PRAKASH DUBE,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),0.08%,"24,0",,
54,Ajit Pal Tyagi,Bharatiya Janata Party,61.63%,"16,9290",,
54,Surendra Kumar Munni,Rashtriya Lok Dal,26.28%,"72,195",,
54,Ayyuv Khan,Bahujan Samaj Party,7.5%,"20,589",,
54,Vijendra Yadav,Indian National Congress,2.57%,"70,55",,
54,Mahesh Tyagi,Aam Aadmi Party,0.81%,"22,17",,
54,NOTA,None of the Above,0.5%,"13,64",,
54,Prerna Solanki,Nyay Party,0.35%,"97,1",,
54,Lalit Mohan Tyagi,Independent,0.12%,"32,2",,
54,Manoj Kumar Sharma (Hodia),Subhashwadi Bhartiya Samajwadi Party (Subhas Party),0.11%,"30,7",,
54,Rajkumar Tyagi,Vijay Bharat Party,0.07%,"19,9",,
54,Prabhat Kumar Sharma,Independent,0.07%,"18,0",,
55,SUNIL KUMAR SHARMA,Bharatiya Janata Party,67.03%,"32,2882",,
55,AMARPAL SHARMA,Samajwadi Party,22.43%,"10,8047",,
55,AJIT KUMAR PAL,Bahujan Samaj Party,5.01%,"24,136",,
55,SANGEETA TYAGI,Indian National Congress,2.13%,"10,273",,
55,CHHAVI YADAV,Aam Aadmi Party,1.45%,"69,65",,
55,MANMOHAN JHA,All India Majlis-E-Ittehadul Muslimeen,0.89%,"43,05",,
55,NOTA,None of the Above,0.61%,"29,45",,
55,SMT. GEETANJALI,Independent,0.12%,"55,7",,
55,VIJAY KUMAR,Independent,0.11%,"53,2",,
55,SUJIT TIWARI,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),0.09%,"43,8",,
55,BHUPENDRA NATH,Jan Adhikar Party,0.06%,"31,0",,
55,ANIMA OJHA,Right to Recall Party,0.06%,"29,6",,
56,Atul Garg,Bharatiya Janata Party,61.37%,"15,0205",,
56,Vishal Verma,Samajwadi Party,18.25%,"44,668",,
56,Krishan Kumar,Bahujan Samaj Party,13.36%,"32,691",,
56,SUSHANT GOYAL,Indian National Congress,4.83%,"11,818",,
56,Nimit,Aam Aadmi Party,0.77%,"18,79",,
56,NOTA,None of the Above,0.51%,"12,38",,
56,Pintu Singh,Independent,0.31%,"75,4",,
56,Rani Dev Shree,Independent,0.14%,"33,1",,
56,Sudhir Kumar,Independent,0.11%,"27,6",,
56,Naresh Kumar,Rashtriya Samaj Paksha,0.1%,"25,0",,
56,Pradeep Kumar Pathak,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),0.06%,"15,3",,
56,Amit Sharma,Independent,0.06%,"15,0",,
56,Ashutosh Gupta,Independent,0.06%,"14,3",,
56,Rajnish Kumar Thakur,Independent,0.05%,"11,6",,
56,RAKESH SURI,Right to Recall Party,0.04%,"94,",,
57,DR. MANJU SHIWACH,Bharatiya Janata Party,50.63%,"11,3349",,
57,SUDESH SHARMA,Rashtriya Lok Dal,35.17%,"78,730",,
57,DR. POONAM GARG,Bahujan Samaj Party,11.94%,"26,729",,
57,NEERAJ KUMARI,Indian National Congress,0.93%,"20,73",,
57,HARINDRA KUMAR SHARMA,Aam Aadmi Party,0.48%,"10,70",,
57,NOTA,None of the Above,0.39%,"86,9",,
57,VIJAY,Bahujan Mukti Party,0.32%,"72,2",,
57,ANIL,Independent,0.15%,"32,5",,
58,DHARMESH SINGH TOMAR,Bharatiya Janata Party,44.65%,"12,5028",,
58,ASLAM ALI,Samajwadi Party,40.14%,"11,2400",,
58,BASID,Bahujan Samaj Party,11.78%,"32,999",,
58,ARIF,All India Majlis-E-Ittehadul Muslimeen,1.26%,"35,20",,
58,ARVIND SHARMA,Indian National Congress,0.81%,"22,66",,
58,NOTA,None of the Above,0.34%,"95,0",,
58,CHANDRA MOHAN,Aam Aadmi Party,0.24%,"67,3",,
58,KULDEEP,Independent,0.21%,"60,0",,
58,PRAMOD,Independent,0.2%,"55,4",,
58,KEERTY PRATAP SINGH,Independent,0.15%,"41,4",,
58,TRIVEDI,Nagrik Chetna Party,0.07%,"18,5",,
58,BRIJESH KORI,Swatantra Jantaraj Party,0.06%,"16,6",,
58,ASAMA,Independent,0.05%,"14,7",,
58,NAZIM,Jan Adhikar Party,0.04%,"11,1",,
59,VIJAYPAL (AADHTI),Bharatiya Janata Party,39.69%,"97,862",,
59,GAJRAJ SINGH,Rashtriya Lok Dal,36.84%,"90,828",,
59,MANISH SINGH,Bahujan Samaj Party,20.58%,"50,751",,
59,BHAVNA,Indian National Congress,1.3%,"31,95",,
59,NOTA,None of the Above,0.38%,"93,0",,
59,CHANDRAPAL SINGH,Independent,0.25%,"61,8",,
59,Dr B P NILARATNA,Aazad Samaj Party (Kanshi Ram),0.23%,"56,0",,
59,KIRAN PAL,Bahujan Mukti Party,0.19%,"47,1",,
59,KAILASHCHAND,Independent,0.14%,"33,5",,
59,VEERPAL SINGH,Aam Aadmi Party,0.13%,"32,9",,
59,SANJEEV GANDHI,Independent,0.13%,"31,1",,
59,KAPIL KUMAR,Independent,0.08%,"20,4",,
59,DHARMENDRA,Bhartiya Janta Dal,0.07%,"17,3",,
60,HARENDRA SINGH,Bharatiya Janata Party,44.07%,"10,4113",,
60,RAVINDER CHAUDHARY,Samajwadi Party,32.94%,"77,807",,
60,MADAN CHAUHAN,Bahujan Samaj Party,18.6%,"43,929",,
60,FURKAN,All India Majlis-E-Ittehadul Muslimeen,2.06%,"48,68",,
60,ABHA CHAUDHARY,Indian National Congress,0.7%,"16,46",,
60,NOTA,None of the Above,0.35%,"81,8",,
60,GOPAL SHARMA,All India Hindustan Congress Party,0.34%,"80,4",,
60,VIRENDRA SINGH PRAJAPATI,Jan Adhikar Party,0.28%,"65,5",,
60,NARENDRA SINGH,Aam Aadmi Party,0.26%,"61,1",,
60,GHANSHYAM,Aazad Samaj Party (Kanshi Ram),0.21%,"49,1",,
60,SHIVKUMAR CHAUHAN,Independent,0.2%,"47,8",,
61,Pankaj Singh,Bharatiya Janata Party,70.16%,"24,4319",,
61,Sunil Choudhary,Samajwadi Party,18.04%,"62,806",,
61,Kripa Ram Sharma,Bahujan Samaj Party,4.68%,"16,292",,
61,Pankhuri Pathak,Indian National Congress,3.88%,"13,494",,
61,Pankaj Avana,Aam Aadmi Party,1.88%,"65,51",,
61,NOTA,None of the Above,0.71%,"24,63",,
61,Sorabh Goel,Independent,0.14%,"49,8",,
61,Dhruv Agraval,Liberal Party of India,0.11%,"39,0",,
61,Rohit,Rashtrawadi Janlok Party (Satya),0.08%,"28,4",,
61,Ashish Sharma,Loktantrik Janshakti Party,0.08%,"26,5",,
61,Yeshu Singh,Independent,0.07%,"24,7",,
61,Bijender Singh Urf Bijendra Singh,Vijay Bharat Party,0.06%,"22,1",,
61,Sarmedra,Independent,0.06%,"21,8",,
61,Nitish,Rashtriya Janta Party,0.05%,"18,0",,
62,TEJPAL SINGH NAGAR,Bharatiya Janata Party,61.64%,"21,8068",,
62,RAJKUMAR BHATI,Samajwadi Party,22.57%,"79,850",,
62,MANBIR SINGH,Bahujan Samaj Party,11.44%,"40,456",,
62,DEEPAK KUMAR BHATI CHOTIWALA,Indian National Congress,1.52%,"53,92",,
62,SANJAY,Aam Aadmi Party,1.31%,"46,20",,
62,NOTA,None of the Above,0.57%,"20,33",,
62,CHAMAN SINGH,Mihir Sena,0.21%,"73,0",,
62,TRILOCHAN NARAYAN SINGH,Independent,0.16%,"56,5",,
62,SANJAY KUMAR SHARMA,Independent,0.16%,"55,6",,
62,AMIT BASOYA,Independent,0.12%,"44,2",,
62,HEMANT SHARMA,Shiv Sena,0.08%,"30,0",,
62,ANNU KHAN,Independent,0.08%,"28,7",,
62,JAGDISH SINGH,Sarv Samaj Party,0.05%,"17,3",,
62,RAGHWENDRA KUMAR SRIVASTAVA,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),0.05%,"16,1",,
62,VINAY NAGAR,Bahujan Andolan Party,0.04%,"14,4",,
63,DHIRENDRA SINGH,Bharatiya Janata Party,50.53%,"11,7205",,
63,AVTAR SINGH BHADANA,Rashtriya Lok Dal,26.25%,"60,890",,
63,NARENDER KUMAR,Bahujan Samaj Party,19.51%,"45,256",,
63,MANOJ,Indian National Congress,1.38%,"32,00",,
63,NOTA,None of the Above,0.73%,"16,94",,
63,SUNIL GAUTAM,Independent,0.43%,"10,01",,
63,VEER SINGH,Independent,0.35%,"80,7",,
63,POONAM,Aam Aadmi Party,0.26%,"59,6",,
63,DHANIRAM,Independent,0.17%,"38,9",,
63,NEERU WALIA,Sarv Samaj Party,0.12%,"27,8",,
63,VIJAY,Independent,0.1%,"23,8",,
63,TRILOK CHAND SHARMA,Independent,0.1%,"23,4",,
63,MANOJ KUMAR SHARMA,Loktantrik Janshakti Party,0.07%,"17,1",,
64,Lakshmi Raj,Bharatiya Janata Party,46%,"12,5644",,
64,Rahul Yadav,Samajwadi Party,35.26%,"96,301",,
64,Manveer Singh,Bahujan Samaj Party,15.61%,"42,634",,
64,Saleem Akhtar Khan,Indian National Congress,0.84%,"22,81",,
64,Dilshad Ahmad,All India Majlis-E-Ittehadul Muslimeen,0.63%,"17,32",,
64,Raju Thakur,Rashtrawadi Janlok Party (Satya),0.49%,"13,41",,
64,NOTA,None of the Above,0.44%,"11,95",,
64,Ajay Kumar,Lok Dal,0.25%,"68,5",,
64,Bablu,Independent,0.19%,"52,8",,
64,Darshan Sharma,Aam Aadmi Party,0.17%,"47,2",,
64,Amit Singh Tomar,Shiv Sena,0.07%,"20,3",,
64,Ajay Kumar Sharma,Loktantrik Janshakti Party,0.04%,"11,7",,
65,Pradeep Kumar Chaudhary,Bharatiya Janata Party,48.94%,"12,7076",,
65,Mohammad Yunus,Rashtriya Lok Dal,38.99%,"10,1246",,
65,Mohd. Mobin Kallu Qureshi,Bahujan Samaj Party,9.39%,"24,373",,
65,Sushil Chaudhry,Indian National Congress,1.06%,"27,61",,
65,Vikas Sharma,Aam Aadmi Party,0.55%,"14,30",,
65,NOTA,None of the Above,0.41%,"10,73",,
65,Satish,Independent,0.2%,"53,2",,
65,Sonali Singh,Independent,0.15%,"38,1",,
65,Tariq Khan,All India Minorities Front,0.09%,"22,4",,
65,Gita Rani Sharma,Independent,0.08%,"22,0",,
65,Madhu Bhati,Peace Party,0.07%,"18,7",,
65,Mukesh Bhardwaj,Independent,0.06%,"16,7",,
66,Devendra Singh Lodhi,Bharatiya Janata Party,58.9%,"14,9125",,
66,Dilnawaz Khan,Rashtriya Lok Dal,23.49%,"59,468",,
66,Sunil Kumar,Bahujan Samaj Party,14.29%,"36,193",,
66,Km. Poonam,Indian National Congress,1.15%,"29,14",,
66,NOTA,None of the Above,0.55%,"14,02",,
66,Gyanesh Kumar Chauhan,Hindustan Utthan Party,0.49%,"12,37",,
66,Dinesh,Independent,0.44%,"11,09",,
66,Sangeeta,Independent,0.4%,"10,11",,
66,Satvir Singh,Aam Aadmi Party,0.29%,"73,8",,
67,Sanjay Kumar Sharma,Bharatiya Janata Party,52.64%,"12,5602",,
67,Rameshvar,Bahujan Samaj Party,20.11%,"47,979",,
67,K.K. Sharma,Nationalist Congress Party,18.52%,"44,180",,
67,Gajendra Singh,Indian National Congress,5.58%,"13,321",,
67,Anita,Vikassheel Insaan Party,0.58%,"13,94",,
67,NOTA,None of the Above,0.56%,"13,45",,
67,Satendera Singh,Independent,0.53%,"12,62",,
67,Harendra Singh,Aam Aadmi Party,0.46%,"11,01",,
67,Bhupendra Singh,Independent,0.36%,"85,9",,
67,Hukam Singh,Independent,0.32%,"77,4",,
67,Sakir,Aazad Samaj Party (Kanshi Ram),0.19%,"45,5",,
67,Rashmi,Shiv Sena,0.14%,"32,8",,
68,CHANDRAPAL SINGH,Bharatiya Janata Party,58.6%,"12,8640",,
68,HARISH KUMAR,Samajwadi Party,27.61%,"60,615",,
68,KARAN PAL SINGH,Bahujan Samaj Party,11.17%,"24,516",,
68,SUNITA DEVI,Indian National Congress,0.89%,"19,47",,
68,NOTA,None of the Above,0.55%,"12,18",,
68,MANOJ,Aam Aadmi Party,0.47%,"10,32",,
68,RAJPAL SINGH,Independent,0.44%,"96,8",,
68,MUKESH KUMAR,Independent,0.27%,"58,3",,
69,Anil Kumar,Bharatiya Janata Party,53.04%,"11,3855",,
69,Kiranpal Singh,Rashtriya Lok Dal,27.1%,"58,172",,
69,Mu Rafik,Bahujan Samaj Party,17.4%,"37,358",,
69,ZiaurRahman,Indian National Congress,0.72%,"15,42",,
69,NOTA,None of the Above,0.68%,"14,52",,
69,Ashughosh Kumar Nirmal,Aam Aadmi Party,0.32%,"67,8",,
69,Nishant Kumar Sharma,Independent,0.29%,"62,2",,
69,Sohan Singh,Aazad Samaj Party (Kanshi Ram),0.25%,"53,1",,
69,Arasad Ali,Independent,0.11%,"22,7",,
69,Ranavir,Bahujan Mukti Party,0.1%,"21,6",,
70,Minakshi Singh,Bharatiya Janata Party,52.99%,"13,7461",,
70,Banshi Singh,Samajwadi Party,27.13%,"70,377",,
70,Vinod,Bahujan Samaj Party,17.47%,"45,325",,
70,Tukki,Indian National Congress,1.02%,"26,43",,
70,NOTA,None of the Above,0.4%,"10,31",,
70,JaiDev,Aam Aadmi Party,0.34%,"89,0",,
70,Anil Kumar,Independent,0.24%,"63,0",,
70,Ankit Gautam,Independent,0.23%,"60,1",,
70,Anmol,Independent,0.17%,"42,9",,
71,ANOOP SINGH URF ANOOP PRADHAN VALMEEKI,Bharatiya Janata Party,55.55%,"13,9643",,
71,CHARU KAIN KAIN,Bahujan Samaj Party,25.98%,"65,302",,
71,BHAGWATI PRASAD,Rashtriya Lok Dal,16.57%,"41,644",,
